Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayn,,,,,,,,,,,,,,,,,,,,
kennen,52.50%,47.50%,38.19%,61.81%,1.56 : 1,2.12 : 1,35.73%,38.19%,"19,457","25,898","17'58""","16'29""",52.50%,47.50%,52.37%,52.57%,3.67%,2.32%,4.67%,2.01%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,46.36%,53.64%,40.26%,59.74%,1.66 : 1,2.24 : 1,39.52%,40.99%,"21,747","22,018","17'20""","14'55""",46.36%,53.64%,52.37%,52.08%,3.67%,1.49%,4.67%,0.60%
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,56.82%,43.18%,44.62%,55.38%,1.85 : 1,1.88 : 1,38.22%,33.75%,"24,836","16,182","17'46""","16'40""",56.82%,43.18%,52.37%,48.52%,3.67%,4.36%,4.67%,2.71%
leblanc,,,,,,,,,,,,,,,,,,,,
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,,,,,
malphite,44.18%,55.82%,28.97%,71.03%,1.34 : 1,3.03 : 1,33.78%,40.52%,"17,929","22,973","18'33""","15'50""",44.18%,55.82%,52.37%,52.33%,3.67%,4.64%,4.67%,8.58%
malzahar,,,,,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,54.21%,45.79%,40.27%,59.73%,1.65 : 1,1.91 : 1,36.85%,34.52%,"22,322","21,223","18'46""","16'36""",54.21%,45.79%,52.37%,51.91%,3.67%,5.23%,4.67%,5.97%
morgana,,,,,,,,,,,,,,,,,,,,
naafiri,,,,,,,,,,,,,,,,,,,,
nami,,,,,,,,,,,,,,,,,,,,
nasus,48.78%,51.22%,43.31%,56.69%,1.71 : 1,2.06 : 1,35.55%,34.23%,"25,065","18,186","17'55""","16'45""",48.78%,51.22%,52.37%,51.39%,3.67%,2.96%,4.67%,3.25%
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,,,,,,,,,,,,,,,,,,,,
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,53.64%,46.36%,46.76%,53.24%,1.75 : 1,1.68 : 1,39.41%,35.18%,"22,689","21,818","18'23""","16'21""",53.64%,46.36%,52.37%,52.52%,3.67%,1.69%,4.67%,1.38%
orianna,,,,,,,,,,,,,,,,,,,,
ornn,52.38%,47.62%,39.29%,60.71%,1.64 : 1,2.61 : 1,35.36%,39.39%,"23,453","17,130","18'12""","16'15""",52.38%,47.62%,52.37%,51.19%,3.67%,3.76%,4.67%,0.43%
pantheon,49.46%,50.54%,43.85%,56.15%,1.58 : 1,2.09 : 1,36.54%,41.06%,"18,578","25,010","17'32""","16'9""",49.46%,50.54%,52.37%,51.48%,3.67%,2.16%,4.67%,10.61%
poppy,62.26%,37.74%,42.21%,57.79%,1.57 : 1,1.85 : 1,33.89%,37.63%,"23,160","19,988","17'52""","17'13""",62.26%,37.74%,52.37%,51.63%,3.67%,1.38%,4.67%,6.58%
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,,,,,,,,,,,,,,,,,,,,
quinn,39.20%,60.80%,47.29%,52.71%,1.63 : 1,2.12 : 1,37.85%,42.36%,"19,142","27,835","17'17""","17'57""",39.20%,60.80%,52.37%,53.61%,3.67%,1.87%,4.67%,1.85%
rakan,,,,,,,,,,,,,,,,,,,,
rammus,,,,,,,,,,,,,,,,,,,,
reksai,,,,,,,,,,,,,,,,,,,,
rell,,,,,,,,,,,,,,,,,,,,
renata,,,,,,,,,,,,,,,,,,,,
