Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,,,,,,,,,,,,,,,,,,,,
katarina,,,,,,,,,,,,,,,,,,,,
kayle,48.42%,51.58%,49.12%,50.88%,1.85 : 1,1.88 : 1,36.25%,37.64%,"20,565","28,175","15'1""","18'33""",48.42%,51.58%,50.25%,52.36%,4.57%,3.68%,0.95%,4.70%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,52.69%,47.31%,44.85%,55.15%,1.94 : 1,2.04 : 1,38.59%,38.89%,"19,909","28,089","16'2""","18'56""",52.69%,47.31%,50.25%,52.52%,4.57%,2.32%,0.95%,2.01%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,48.81%,51.19%,39.94%,60.06%,1.73 : 1,2.30 : 1,37.16%,42.60%,"22,713","29,917","16'15""","15'59""",48.81%,51.19%,50.25%,52.06%,4.57%,1.49%,0.95%,0.60%
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,52.26%,47.74%,40.90%,59.10%,1.80 : 1,2.17 : 1,36.95%,37.35%,"20,982","25,275","17'10""","17'39""",52.26%,47.74%,50.25%,48.48%,4.57%,4.35%,0.95%,2.71%
leblanc,,,,,,,,,,,,,,,,,,,,
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,,,,,,,,,,,,,,,,,,,,
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,,,,,,,,,,,,,,,,,,,,
malphite,52.36%,47.64%,43.49%,56.51%,1.89 : 1,2.63 : 1,38.09%,40.68%,"24,843","24,491","15'0""","18'56""",52.36%,47.64%,50.25%,52.30%,4.57%,4.65%,0.95%,8.60%
malzahar,,,,,,,,,,,,,,,,,,,,
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,49.03%,50.97%,46.02%,53.98%,1.76 : 1,1.94 : 1,37.56%,35.73%,"21,501","31,527","17'19""","17'36""",49.03%,50.97%,50.25%,52.03%,4.57%,5.23%,0.95%,5.98%
morgana,,,,,,,,,,,,,,,,,,,,
naafiri,,,,,,,,,,,,,,,,,,,,
nami,,,,,,,,,,,,,,,,,,,,
nasus,53.04%,46.96%,46.10%,53.90%,1.87 : 1,2.00 : 1,37.92%,36.02%,"28,543","25,624","14'43""","18'10""",53.04%,46.96%,50.25%,51.40%,4.57%,2.96%,0.95%,3.26%
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,,,,,,,,,,,,,,,,,,,,
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,44.81%,55.19%,50.18%,49.82%,1.83 : 1,1.80 : 1,39.29%,37.91%,"22,329","28,975","15'54""","16'54""",44.81%,55.19%,50.25%,52.50%,4.57%,1.69%,0.95%,1.38%
orianna,,,,,,,,,,,,,,,,,,,,
ornn,50.40%,49.60%,38.43%,61.57%,1.68 : 1,2.64 : 1,36.75%,40.70%,"23,534","24,721","16'24""","17'52""",50.40%,49.60%,50.25%,51.21%,4.57%,3.77%,0.95%,0.43%
pantheon,49.58%,50.42%,42.80%,57.20%,1.75 : 1,2.22 : 1,39.54%,41.92%,"21,012","30,540","15'18""","18'33""",49.58%,50.42%,50.25%,51.42%,4.57%,2.16%,0.95%,10.59%
poppy,46.43%,53.57%,41.42%,58.58%,1.65 : 1,2.38 : 1,37.46%,40.53%,"21,617","28,408","16'38""","18'11""",46.43%,53.57%,50.25%,51.59%,4.57%,1.38%,0.95%,6.56%
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,,,,,,,,,,,,,,,,,,,,
quinn,49.51%,50.49%,48.50%,51.50%,2.01 : 1,2.08 : 1,37.67%,43.38%,"19,031","29,130","14'37""","19'44""",49.51%,50.49%,50.25%,53.47%,4.57%,1.87%,0.95%,1.85%
rakan,,,,,,,,,,,,,,,,,,,,
