Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,50.00%,50.00%,47.29%,52.71%,2.28 : 1,2.57 : 1,43.16%,45.65%,"25,439","23,422","16'58""","18'35""",50.00%,50.00%,50.83%,50.41%,5.42%,2.49%,4.04%,2.52%
katarina,43.22%,56.78%,40.19%,59.81%,1.89 : 1,2.71 : 1,42.93%,51.12%,"22,822","26,757","17'41""","17'28""",43.22%,56.78%,50.83%,51.65%,5.42%,5.91%,4.04%,6.87%
kayle,48.15%,51.85%,53.94%,46.06%,2.55 : 1,2.15 : 1,42.68%,40.48%,"27,651","19,755","16'2""","19'46""",48.15%,51.85%,50.83%,52.15%,5.42%,1.63%,4.04%,4.58%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,51.37%,48.63%,47.03%,52.97%,2.20 : 1,2.04 : 1,43.67%,40.96%,"21,297","21,268","16'26""","17'45""",51.37%,48.63%,50.83%,52.41%,5.42%,1.03%,4.04%,1.93%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,,,,,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,,,,,
leblanc,47.55%,52.45%,31.24%,68.76%,1.81 : 1,3.05 : 1,40.49%,45.62%,"22,213","23,813","17'27""","18'31""",47.55%,52.45%,50.83%,50.73%,5.42%,5.23%,4.04%,21.66%
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,54.09%,45.91%,42.85%,57.15%,2.36 : 1,2.30 : 1,45.74%,44.14%,"26,774","20,681","17'25""","17'43""",54.09%,45.91%,50.83%,51.97%,5.42%,3.20%,4.04%,1.49%
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,49.34%,50.66%,45.84%,54.16%,2.24 : 1,2.73 : 1,43.55%,48.41%,"24,078","23,925","18'0""","17'48""",49.34%,50.66%,50.83%,51.26%,5.42%,4.02%,4.04%,3.16%
malphite,44.93%,55.07%,50.28%,49.72%,2.25 : 1,2.19 : 1,44.60%,41.08%,"21,628","18,835","17'11""","17'11""",44.93%,55.07%,50.83%,52.90%,5.42%,0.79%,4.04%,7.92%
malzahar,49.64%,50.36%,54.15%,45.85%,2.56 : 1,2.25 : 1,44.37%,42.31%,"24,787","22,754","18'13""","17'15""",49.64%,50.36%,50.83%,51.26%,5.42%,4.99%,4.04%,6.84%
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,,,,,,,,,,,,,,,,,,,,
morgana,53.75%,46.25%,37.69%,62.31%,2.39 : 1,2.69 : 1,45.47%,49.36%,"24,597","20,544","17'57""","18'2""",53.75%,46.25%,50.83%,51.53%,5.42%,0.51%,4.04%,8.39%
naafiri,49.43%,50.57%,36.69%,63.31%,2.12 : 1,2.76 : 1,44.24%,48.19%,"23,790","24,486","18'10""","16'31""",49.43%,50.57%,50.83%,52.32%,5.42%,0.68%,4.04%,12.51%
nami,,,,,,,,,,,,,,,,,,,,
nasus,,,,,,,,,,,,,,,,,,,,
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,52.44%,47.56%,51.79%,48.21%,2.64 : 1,2.35 : 1,46.13%,45.70%,"26,701","21,396","17'24""","18'19""",52.44%,47.56%,50.83%,52.50%,5.42%,0.66%,4.04%,1.69%
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,,,,,,,,,,,,,,,,,,,,
orianna,51.49%,48.51%,47.52%,52.48%,2.23 : 1,2.68 : 1,44.13%,48.55%,"24,310","21,814","18'9""","17'48""",51.49%,48.51%,50.83%,50.22%,5.42%,5.27%,4.04%,1.35%
ornn,,,,,,,,,,,,,,,,,,,,
pantheon,,,,,,,,,,,,,,,,,,,,
poppy,,,,,,,,,,,,,,,,,,,,
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,46.34%,53.66%,41.15%,58.85%,1.95 : 1,2.31 : 1,43.08%,44.92%,"23,435","23,489","16'37""","17'29""",46.34%,53.66%,50.83%,51.44%,5.42%,2.44%,4.04%,1.07%
quinn,41.49%,58.51%,48.00%,52.00%,2.06 : 1,2.57 : 1,44.10%,49.67%,"24,344","26,417","16'49""","20'38""",41.49%,58.51%,50.83%,54.03%,5.42%,0.68%,4.04%,1.71%
rakan,,,,,,,,,,,,,,,,,,,,
rammus,,,,,,,,,,,,,,,,,,,,
reksai,,,,,,,,,,,,,,,,,,,,
rell,,,,,,,,,,,,,,,,,,,,
renata,,,,,,,,,,,,,,,,,,,,
renekton,,,,,,,,,,,,,,,,,,,,
rengar,,,,,,,,,,,,,,,,,,,,
riven,,,,,,,,,,,,,,,,,,,,
rumble,,,,,,,,,,,,,,,,,,,,
