Opponent,Self_winrate,Opponent_winrate,Self_Lane Kill Rate,Opponent_Lane Kill Rate,Self_KDA,Opponent_KDA,Self_Kill participation,Opponent_Kill participation,Self_Damage dealt to champions,Opponent_Damage dealt to champions,Self_First tower kill,Opponent_First tower kill,Self_Win rate,Opponent_Win rate,Self_Lane Win Rate,Opponent_Lane Win Rate,Self_Lane Pick Rate,Opponent_Lane Pick Rate,Self_Ban rate,Opponent_Ban rate
karthus,,,,,,,,,,,,,,,,,,,,
kassadin,52.76%,47.24%,52.89%,47.11%,2.64 : 1,2.23 : 1,48.11%,42.91%,"23,467","20,374","16'27""","20'27""",52.76%,47.24%,50.24%,50.44%,5.29%,2.48%,1.36%,2.50%
katarina,46.43%,53.57%,46.99%,53.01%,2.42 : 1,2.54 : 1,49.70%,50.30%,"21,633","23,520","17'14""","17'39""",46.43%,53.57%,50.24%,51.67%,5.29%,5.90%,1.36%,6.85%
kayle,50.72%,49.28%,53.68%,46.32%,2.90 : 1,2.03 : 1,47.93%,42.73%,"26,543","20,520","16'21""","18'58""",50.72%,49.28%,50.24%,52.22%,5.29%,1.62%,1.36%,4.56%
kayn,,,,,,,,,,,,,,,,,,,,
kennen,46.61%,53.39%,46.05%,53.95%,2.52 : 1,2.22 : 1,50.24%,42.74%,"20,729","20,749","16'54""","17'38""",46.61%,53.39%,50.24%,52.40%,5.29%,1.03%,1.36%,1.93%
khazix,,,,,,,,,,,,,,,,,,,,
kindred,,,,,,,,,,,,,,,,,,,,
kled,,,,,,,,,,,,,,,,,,,,
kogmaw,,,,,,,,,,,,,,,,,,,,
ksante,,,,,,,,,,,,,,,,,,,,
leblanc,48.51%,51.49%,35.85%,64.15%,2.09 : 1,3.04 : 1,46.21%,47.61%,"20,955","23,305","17'44""","18'8""",48.51%,51.49%,50.24%,50.73%,5.29%,5.23%,1.36%,21.77%
leesin,,,,,,,,,,,,,,,,,,,,
leona,,,,,,,,,,,,,,,,,,,,
lillia,,,,,,,,,,,,,,,,,,,,
lissandra,51.51%,48.49%,48.78%,51.22%,2.66 : 1,2.35 : 1,50.73%,46.64%,"23,278","19,132","17'30""","17'18""",51.51%,48.49%,50.24%,51.92%,5.29%,3.20%,1.36%,1.48%
lucian,,,,,,,,,,,,,,,,,,,,
lulu,,,,,,,,,,,,,,,,,,,,
lux,50.32%,49.68%,46.53%,53.47%,2.50 : 1,2.80 : 1,47.89%,47.87%,"20,701","23,037","18'48""","17'37""",50.32%,49.68%,50.24%,51.22%,5.29%,4.01%,1.36%,3.15%
malphite,50.00%,50.00%,47.37%,52.63%,2.57 : 1,2.52 : 1,48.36%,44.46%,"21,119","19,333","16'23""","16'47""",50.00%,50.00%,50.24%,52.90%,5.29%,0.79%,1.36%,7.91%
malzahar,50.70%,49.30%,57.13%,42.87%,3.06 : 1,2.15 : 1,48.96%,42.12%,"22,468","21,777","18'6""","16'55""",50.70%,49.30%,50.24%,51.28%,5.29%,4.98%,1.36%,6.82%
maokai,,,,,,,,,,,,,,,,,,,,
milio,,,,,,,,,,,,,,,,,,,,
missfortune,,,,,,,,,,,,,,,,,,,,
mordekaiser,,,,,,,,,,,,,,,,,,,,
morgana,52.73%,47.27%,38.27%,61.73%,2.45 : 1,2.68 : 1,45.80%,47.74%,"20,743","19,876","17'0""","18'1""",52.73%,47.27%,50.24%,51.46%,5.29%,0.50%,1.36%,8.37%
naafiri,46.91%,53.09%,42.50%,57.50%,2.36 : 1,2.55 : 1,47.03%,47.50%,"21,070","23,056","18'39""","17'5""",46.91%,53.09%,50.24%,52.39%,5.29%,0.68%,1.36%,12.51%
nami,,,,,,,,,,,,,,,,,,,,
nasus,,,,,,,,,,,,,,,,,,,,
nautilus,,,,,,,,,,,,,,,,,,,,
neeko,53.70%,46.30%,53.82%,46.18%,2.84 : 1,2.33 : 1,47.07%,45.41%,"20,073","19,352","17'24""","18'27""",53.70%,46.30%,50.24%,52.72%,5.29%,0.67%,1.36%,1.70%
nidalee,,,,,,,,,,,,,,,,,,,,
nilah,,,,,,,,,,,,,,,,,,,,
nocturne,,,,,,,,,,,,,,,,,,,,
nunu,,,,,,,,,,,,,,,,,,,,
olaf,,,,,,,,,,,,,,,,,,,,
ornn,,,,,,,,,,,,,,,,,,,,
pantheon,,,,,,,,,,,,,,,,,,,,
poppy,,,,,,,,,,,,,,,,,,,,
pyke,,,,,,,,,,,,,,,,,,,,
qiyana,52.92%,47.08%,43.37%,56.63%,2.26 : 1,2.18 : 1,48.13%,46.55%,"22,171","23,361","16'39""","17'25""",52.92%,47.08%,50.24%,51.47%,5.29%,2.44%,1.36%,1.07%
quinn,43.96%,56.04%,47.39%,52.61%,2.39 : 1,2.29 : 1,47.19%,48.49%,"19,772","22,478","17'17""","18'40""",43.96%,56.04%,50.24%,53.93%,5.29%,0.68%,1.36%,1.70%
rakan,,,,,,,,,,,,,,,,,,,,
rammus,,,,,,,,,,,,,,,,,,,,
reksai,,,,,,,,,,,,,,,,,,,,
rell,,,,,,,,,,,,,,,,,,,,
renata,,,,,,,,,,,,,,,,,,,,
renekton,,,,,,,,,,,,,,,,,,,,
rengar,,,,,,,,,,,,,,,,,,,,
riven,,,,,,,,,,,,,,,,,,,,
rumble,,,,,,,,,,,,,,,,,,,,
ryze,51.81%,48.19%,55.62%,44.38%,3.13 : 1,2.22 : 1,50.53%,42.55%,"24,785","21,447","17'35""","18'44""",51.81%,48.19%,50.24%,48.60%,5.29%,3.12%,1.36%,0.67%
samira,,,,,,,,,,,,,,,,,,,,
sejuani,,,,,,,,,,,,,,,,,,,,
senna,,,,,,,,,,,,,,,,,,,,
seraphine,,,,,,,,,,,,,,,,,,,,
sett,,,,,,,,,,,,,,,,,,,,
shaco,,,,,,,,,,,,,,,,,,,,
shen,,,,,,,,,,,,,,,,,,,,
shyvana,,,,,,,,,,,,,,,,,,,,
singed,,,,,,,,,,,,,,,,,,,,
sion,,,,,,,,,,,,,,,,,,,,
sivir,,,,,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,,,,,
smolder,53.54%,46.46%,61.20%,38.80%,2.89 : 1,1.71 : 1,49.10%,41.83%,"24,305","23,446","16'53""","18'57""",53.54%,46.46%,50.24%,46.74%,5.29%,1.18%,1.36%,4.91%
sona,,,,,,,,,,,,,,,,,,,,
soraka,,,,,,,,,,,,,,,,,,,,
swain,51.24%,48.76%,52.80%,47.20%,2.90 : 1,2.58 : 1,50.06%,51.26%,"26,207","23,229","17'40""","18'28""",51.24%,48.76%,50.24%,51.73%,5.29%,1.05%,1.36%,0.71%
sylas,47.49%,52.51%,49.58%,50.42%,2.45 : 1,2.11 : 1,50.16%,46.30%,"23,419","21,523","17'20""","17'42""",47.49%,52.51%,50.24%,50.35%,5.29%,9.61%,1.36%,10.13%
syndra,48.66%,51.34%,52.48%,47.52%,2.68 : 1,2.23 : 1,48.56%,44.12%,"21,820","24,283","17'48""","18'10""",48.66%,51.34%,50.24%,50.83%,5.29%,5.40%,1.36%,4.02%
tahmkench,,,,,,,,,,,,,,,,,,,,
taliyah,49.15%,50.85%,56.85%,43.15%,2.87 : 1,2.26 : 1,50.86%,47.46%,"23,129","21,468","18'15""","18'23""",49.15%,50.85%,50.24%,50.41%,5.29%,2.66%,1.36%,0.74%
talon,49.29%,50.71%,50.94%,49.06%,2.49 : 1,2.29 : 1,48.15%,45.56%,"22,937","22,278","17'27""","18'30""",49.29%,50.71%,50.24%,51.14%,5.29%,2.28%,1.36%,7.80%
taric,,,,,,,,,,,,,,,,,,,,
teemo,,,,,,,,,,,,,,,,,,,,
thresh,,,,,,,,,,,,,,,,,,,,
tristana,54.69%,45.31%,50.51%,49.49%,2.91 : 1,1.89 : 1,48.52%,39.62%,"21,339","21,495","16'59""","16'44""",54.69%,45.31%,50.24%,45.53%,5.29%,0.59%,1.36%,4.85%
trundle,,,,,,,,,,,,,,,,,,,,
tryndamere,,,,,,,,,,,,,,,,,,,,
twistedfate,50.17%,49.83%,53.36%,46.64%,2.98 : 1,2.51 : 1,50.79%,46.77%,"23,170","16,743","16'57""","18'10""",50.17%,49.83%,50.24%,51.44%,5.29%,9.57%,1.36%,12.45%
twitch,,,,,,,,,,,,,,,,,,,,
udyr,,,,,,,,,,,,,,,,,,,,
urgot,,,,,,,,,,,,,,,,,,,,
varus,,,,,,,,,,,,,,,,,,,,
vayne,,,,,,,,,,,,,,,,,,,,
