,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aurelionsol,,0.64%,0.64%,0.64%,,,0.64%,0.64%,,,,0.64%,,,,,,,,,0.64%,,,,,,,,,,,,,0.64%,0.64%,,,,,,,,,0.64%,,,,,,,,,,,,,,0.64%,0.64%,,,,,,,,,0.64%,,,,0.64%,,,,,0.64%,,,,,,,,,,,,,,,,0.64%,,,,,0.64%,,,,,,,,,,,0.64%,,,,,,,,,,,,,,,,,0.64%,0.64%,,0.64%,,,,,,,,0.64%,,,,,,0.64%,,0.64%,,,0.64%,0.64%,,,,,0.64%,,0.64%,0.64%,,,,,,,,0.64%,
azir,,0.54%,0.54%,0.54%,,,0.54%,0.54%,,,0.54%,,,,,,,,,,0.54%,,,,,,,,,,,,,0.54%,0.54%,,,,,,,,,0.54%,,,,,,,,,,,,,,0.54%,0.54%,,,,,,,,,0.54%,,,,0.54%,,,,,0.54%,,,,,,,,,,,,,,,,0.54%,,,,,0.54%,,,,,,,,,,,0.54%,,,,,,,,,,,,,,,,,0.54%,0.54%,,0.54%,,,,,,,,0.54%,,,,,,0.54%,,0.54%,,,0.54%,0.54%,,,,,0.53%,,0.53%,0.53%,,,,,,,,0.53%,
bard,,,,,1.52%,,,,,,,,,,1.52%,1.52%,1.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52%,,,,,,,,1.53%,,,,,,,,,,,,,,1.53%,,,,1.53%,1.53%,,,1.53%,1.53%,,,1.53%,,1.53%,,1.53%,1.53%,,,,,,,,,1.53%,1.54%,,,1.54%,,,1.54%,1.54%,,,,,,,,,1.54%,,,,,,,,,,1.54%,1.54%,1.54%,,,1.54%,,,1.54%,,1.54%,,,,,,,,,,,1.54%,,,,,,,,,,,,,,,1.54%,,,,,1.54%,,1.54%
belveth,,,,,,3.81%,,,,,,,,,,,,3.81%,,,,,,,3.81%,,,3.81%,3.81%,3.81%,,3.81%,,,,,,,,3.81%,,3.81%,,,,,3.81%,,3.81%,,,,,,,,3.81%,,,,3.81%,,3.81%,3.81%,,,,,3.81%,,3.81%,,,,,,,,,,,,3.82%,,,,,3.82%,,3.82%,3.82%,,,,3.82%,,,,,,3.83%,3.83%,,,,3.83%,,,,,3.83%,,,,3.83%,,3.83%,,,,3.83%,,,,,,,,,3.84%,,,,,3.84%,,,,3.84%,,,,,,,3.84%,3.84%,,,3.84%,3.84%,,,,3.84%,,,,,3.84%,3.84%,,,,,
blitzcrank,,,,,12.59%,,,,,,,,12.59%,,,12.59%,12.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.57%,,,,,,,,12.55%,,,,,,,,,,,,,,12.55%,,,,12.54%,12.54%,,,12.54%,12.54%,,,12.54%,,12.54%,,12.54%,12.54%,,,,,,,,,12.54%,12.54%,,,12.51%,,,12.51%,12.51%,,,,,,,,,12.51%,,,,,,,,,,12.49%,12.49%,12.49%,,,12.49%,,,12.49%,,12.49%,,,,,,,,,,,12.44%,,,,,,,,,,,,,,,12.43%,,,,,12.43%,,12.43%
brand,,,,,1.10%,,,,,,,,1.10%,,1.10%,,1.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10%,,,,,,,,1.10%,,,,,,,,,,,,,,1.10%,,,,1.11%,1.11%,,,1.11%,1.11%,,,1.11%,,1.11%,,1.11%,1.11%,,,,,,,,,1.11%,1.11%,,,1.11%,,,1.11%,1.11%,,,,,,,,,1.11%,,,,,,,,,,1.11%,1.11%,1.11%,,,1.11%,,,1.11%,,1.11%,,,,,,,,,,,1.11%,,,,,,,,,,,,,,,1.11%,,,,,1.11%,,1.11%
braum,,,,,14.42%,,,,,,,,14.42%,,14.42%,14.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.41%,,,,,,,,14.39%,,,,,,,,,,,,,,14.39%,,,,14.36%,14.36%,,,14.36%,14.36%,,,14.36%,,14.36%,,14.36%,14.36%,,,,,,,,,14.36%,14.36%,,,14.34%,,,14.34%,14.34%,,,,,,,,,14.34%,,,,,,,,,,14.32%,14.32%,14.32%,,,14.32%,,,14.32%,,14.32%,,,,,,,,,,,14.25%,,,,,,,,,,,,,,,14.23%,,,,,14.23%,,14.21%
briar,,,,,,4.25%,,,,,,,,4.25%,,,,,,,,,,,4.27%,,,4.27%,4.27%,4.27%,,4.27%,,,,,,,,4.27%,,4.27%,,,,,4.27%,,4.28%,,,,,,,,4.28%,,,,4.28%,,4.28%,4.28%,,,,,4.28%,,4.28%,,,,,,,,,,,,4.30%,,,,,4.30%,,4.30%,4.30%,,,,4.30%,,,,,,4.31%,4.31%,,,,4.31%,,,,,4.31%,,,,4.31%,,4.31%,,,,4.31%,,,,,,,,,4.33%,,,,,4.33%,,,,4.35%,,,,,,,4.36%,4.36%,,,4.36%,4.36%,,,,4.37%,,,,,4.37%,4.37%,,,,,
caitlyn,,,,,,,,,12.86%,12.86%,,,,,,,,,,,,,12.86%,,,12.87%,,,,,12.87%,,,,,,,,,,,,,,,,,,,,,12.88%,12.88%,12.88%,12.88%,,,,,,,,,,,12.88%,,,,,,,12.90%,,,,,,,12.90%,,,,,,,,,12.90%,,,,,,,,,,,,,,,,,,,,,12.92%,,12.92%,,,,,,,,12.92%,,12.95%,,,,,,,,,,,,12.95%,,,,13.00%,,,13.01%,13.01%,,,,,,,,,,,13.04%,,,,,,,,,13.04%,13.04%,,,
camille,1.44%,,,,,,,,,,,,,,,,,,,,,1.44%,,1.44%,,,1.44%,,,,,,1.44%,,,1.44%,1.44%,1.44%,1.44%,,1.44%,,1.44%,,1.44%,1.44%,,,,1.44%,1.44%,,,,,,,,,1.44%,,1.44%,,,1.44%,,1.44%,,,,,,,,,1.44%,,,,,1.44%,,,,1.44%,,,,,,,1.44%,,1.44%,,,,,1.45%,,,,,,1.45%,,1.45%,1.45%,,,,,,1.45%,,1.45%,,1.45%,1.45%,,,,,,,,,,,,,1.45%,,,,1.45%,,,,1.45%,,,,,,,,,,,,,,,,,,1.45%,,,,,,,,
cassiopeia,1.10%,1.22%,1.22%,1.22%,,,1.22%,1.22%,,,1.22%,1.22%,,,,,,,,1.10%,,1.10%,,1.10%,,,1.11%,,,,,,1.11%,1.22%,1.22%,1.11%,1.11%,1.11%,1.11%,,1.11%,,1.11%,1.22%,1.11%,1.11%,,,,1.11%,1.11%,,,,,,,1.23%,1.23%,1.11%,,1.11%,,,1.11%,,1.11%,1.23%,,,,1.23%,,,,1.11%,1.23%,,,,1.11%,,,,1.11%,,,,,,,1.11%,1.23%,1.11%,,,,1.23%,1.11%,,,,,,1.11%,,1.11%,1.11%,1.23%,,,,,1.11%,,1.11%,,1.11%,1.11%,,,,,,,1.23%,1.23%,,1.23%,,,1.12%,,,,1.12%,1.23%,,,1.11%,,,1.23%,,1.23%,,,1.23%,1.23%,,,,,1.23%,,1.23%,1.23%,1.11%,,,,,,,1.23%,
chogath,0.99%,0.89%,0.89%,0.89%,,,0.89%,0.89%,,,0.89%,0.89%,,,,,,,,0.99%,0.89%,,,0.99%,,,0.99%,,,,,,0.99%,0.89%,0.89%,0.99%,0.99%,0.99%,0.99%,,0.99%,,0.99%,0.89%,0.99%,0.99%,,,,0.99%,0.99%,,,,,,,0.89%,0.89%,0.99%,,0.99%,,,0.99%,,0.99%,0.89%,,,,0.89%,,,,0.99%,0.89%,,,,0.99%,,,,0.99%,,,,,,,0.99%,0.89%,0.99%,,,,0.90%,1.00%,,,,,,1.00%,,1.00%,1.00%,0.90%,,,,,1.00%,,1.00%,,1.00%,1.00%,,,,,,,0.90%,0.90%,,0.90%,,,1.00%,,,,1.00%,0.90%,,,1.00%,,,0.90%,,0.90%,,,0.90%,0.90%,,,,,0.90%,,0.90%,0.90%,1.00%,,,,,,,0.90%,
corki,,0.48%,0.48%,0.48%,,,0.48%,0.48%,0.52%,0.52%,0.48%,0.48%,,,,,,,0.52%,,0.48%,,,,,0.52%,,,,,0.52%,,,0.48%,0.48%,,,,,,,,,0.48%,,,,,,,,0.52%,0.52%,0.52%,0.52%,,,0.48%,0.48%,,,,,,,0.52%,,0.48%,,,,0.48%,0.52%,,,,0.48%,,,0.52%,,,,,,,,,0.52%,,,,0.48%,,,,,0.48%,,,,,,,,,,,0.48%,0.53%,,0.53%,,,,,,,,0.53%,,0.53%,,,,0.48%,0.48%,,0.48%,,,,,0.53%,,,0.49%,0.53%,,,0.53%,0.53%,0.49%,,0.49%,,,0.49%,0.49%,,,,0.53%,0.49%,,0.49%,0.49%,,,,,0.53%,0.53%,,0.49%,
darius,13.68%,,,,,,,,,,,,,,,,,,,13.68%,,13.68%,,,,,13.69%,,,,,,13.69%,,,13.69%,13.69%,13.69%,13.69%,,13.69%,,13.69%,,13.69%,13.69%,,,,13.69%,13.69%,,,,,,,,,13.69%,,13.69%,,,13.69%,,13.69%,,,,,,,,,13.71%,,,,,13.71%,,,,13.71%,,,,,,,13.71%,,13.71%,,,,,13.72%,,,,,,13.72%,,13.72%,13.72%,,,,,,13.72%,,13.72%,,13.72%,13.72%,,,,,,,,,,,,,13.73%,,,,13.73%,,,,13.76%,,,,,,,,,,,,,,,,,,13.77%,,,,,,,,
diana,,5.96%,5.96%,5.96%,,6.00%,5.96%,5.96%,,,5.96%,5.96%,,6.00%,,,,6.00%,,,5.96%,,,,,,,6.00%,6.00%,6.00%,,6.00%,,5.97%,5.97%,,,,,6.00%,,6.00%,,5.97%,,,6.00%,,6.01%,,,,,,,,6.01%,5.97%,5.97%,,6.01%,,6.01%,6.01%,,,,5.97%,6.01%,,6.01%,5.97%,,,,,5.98%,,,,,,6.01%,,,,,6.01%,,6.01%,6.01%,,5.98%,,6.01%,,,5.99%,,,6.02%,6.02%,,,,6.02%,,,5.99%,,6.02%,,,,6.02%,,6.02%,,,,6.02%,,,,,6.00%,6.00%,,6.00%,6.03%,,,,,6.03%,,6.01%,,6.05%,,,,6.02%,,6.02%,6.05%,6.05%,6.02%,6.02%,6.05%,6.05%,,,6.02%,6.06%,6.02%,6.02%,,,6.06%,6.06%,,,,6.02%,
draven,,,,,,,,,18.94%,18.94%,,,,,,,,,18.94%,,,,18.94%,,,,,,,,18.96%,,,,,,,,,,,,,,,,,,,,,18.98%,18.98%,18.98%,18.98%,,,,,,,,,,,18.98%,,,,,,,19.02%,,,,,,,19.02%,,,,,,,,,19.02%,,,,,,,,,,,,,,,,,,,,,19.07%,,19.07%,,,,,,,,19.07%,,19.10%,,,,,,,,,,,,19.10%,,,,19.14%,,,19.14%,19.14%,,,,,,,,,,,19.12%,,,,,,,,,19.12%,19.12%,,,
