,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aurelionsol,,2.09%,2.09%,2.09%,,,2.09%,2.09%,,,,2.09%,,,,,,,,,2.09%,2.09%,2.09%,,2.09%,,,2.09%,,,,,,2.09%,2.09%,2.09%,,,2.09%,,,,,2.09%,,2.09%,,,,,2.09%,,,,,,,2.09%,2.09%,2.09%,,2.09%,,,,,,2.09%,,,,2.09%,,,2.09%,2.09%,2.09%,,,,,2.09%,2.09%,,,,2.09%,,,,,,2.09%,,,,,2.09%,2.09%,,,,,,,,,,2.09%,,,,,,,,,,,,,2.09%,,,2.09%,2.09%,2.09%,,2.09%,2.09%,,,,2.09%,,,2.09%,,,,,,2.09%,2.09%,2.09%,,,2.09%,2.09%,,,2.09%,,2.09%,,2.09%,2.09%,,,,2.09%,,2.09%,,2.09%,
azir,,2.77%,2.77%,2.77%,,,2.77%,2.77%,,,2.77%,,,,,,,,,,2.77%,2.77%,2.77%,,2.77%,,,2.77%,,,,,,2.77%,2.77%,2.77%,,,2.77%,,,,,2.77%,,2.77%,,,,,2.77%,,,,,,,2.77%,2.77%,2.77%,,2.77%,,,,,,2.77%,,,,2.77%,,,2.77%,2.77%,2.77%,,,,,2.77%,2.77%,,,,2.77%,,,,,,2.77%,,,,,2.77%,2.77%,,,,,,,,,,2.77%,,,,,,,,,,,,,2.77%,,,2.77%,2.77%,2.77%,,2.77%,2.77%,,,,2.77%,,,2.77%,,,,,,2.77%,2.77%,2.77%,,,2.77%,2.77%,,,2.77%,,2.77%,,2.77%,2.77%,,,,2.77%,,2.77%,,2.77%,
bard,,,,,5.50%,,,,,5.50%,,,,,5.50%,5.50%,5.50%,,,,,,,,,,,,5.50%,,,5.50%,,,5.50%,,,,,,,,,5.50%,,,,5.50%,,,,,,,,5.50%,,,,,,,,,,,,5.50%,,5.50%,,,,5.50%,5.50%,,,5.50%,5.50%,,,5.50%,,5.50%,,5.50%,5.50%,5.50%,,,,,,,5.50%,5.50%,5.50%,,,5.50%,,,5.50%,5.50%,,,,,,,,5.50%,5.50%,,5.50%,5.50%,,,,,,,5.50%,5.50%,5.50%,5.50%,,5.50%,,,5.50%,5.50%,5.50%,,,,,,,,,,,5.50%,,,,,,,,5.50%,,5.50%,,,,,5.50%,,,,,5.50%,5.50%,5.50%
belveth,,,,,,1.95%,,,,,,,,,,,,1.95%,,,,,,,1.95%,,1.95%,1.95%,1.95%,1.95%,,1.95%,,,,,,,1.95%,1.95%,1.95%,1.95%,,,,,1.95%,,1.95%,1.95%,,,,,,,1.95%,,,,1.95%,,1.95%,1.95%,,,,,1.95%,,1.95%,,,,,,,,,,,,1.95%,,,,,1.95%,,1.95%,1.95%,,,,1.95%,1.95%,,1.95%,,,1.95%,1.95%,,,,1.95%,,,,,1.95%,,,,1.95%,,1.95%,,,,1.95%,,,,,,,,1.95%,1.95%,,,,,1.95%,,,,1.95%,,,,,,,1.95%,1.95%,,,1.95%,1.95%,1.95%,,,1.95%,,,,,1.95%,1.95%,,,,,1.95%
blitzcrank,,,,,4.95%,,,,,4.95%,,,4.95%,,,4.95%,4.95%,,,,,,,,,,,,4.95%,,,4.95%,,,4.95%,,,,,,,,,4.95%,,,,4.95%,,,,,,,,4.95%,,,,,,,,,,,,4.95%,,4.95%,,,,4.95%,4.95%,,,4.95%,4.95%,,,4.95%,,4.95%,,4.95%,4.95%,4.95%,,,,,,,4.95%,4.95%,4.95%,,,4.95%,,,4.95%,4.95%,,,,,,,,4.95%,4.95%,,4.95%,4.95%,,,,,,,4.95%,4.95%,4.95%,4.95%,,4.95%,,,4.95%,4.95%,4.95%,,,,,,,,,,,4.95%,,,,,,,,4.95%,,4.95%,,,,,4.95%,,,,,4.95%,4.95%,4.95%
brand,,,,,1.45%,,,,,1.45%,,,1.45%,,1.45%,,1.45%,,,,,,,,,,,,1.45%,,,1.45%,,,1.45%,,,,,,,,,1.45%,,,,1.45%,,,,,,,,1.45%,,,,,,,,,,,,1.45%,,1.45%,,,,1.45%,1.45%,,,1.45%,1.45%,,,1.45%,,1.45%,,1.45%,1.45%,1.45%,,,,,,,1.45%,1.45%,1.45%,,,1.45%,,,1.45%,1.45%,,,,,,,,1.45%,1.45%,,1.45%,1.45%,,,,,,,1.45%,1.45%,1.45%,1.45%,,1.45%,,,1.45%,1.45%,1.45%,,,,,,,,,,,1.45%,,,,,,,,1.45%,,1.45%,,,,,1.45%,,,,,1.45%,1.45%,1.45%
braum,,,,,8.01%,,,,,8.01%,,,8.01%,,8.01%,8.01%,,,,,,,,,,,,,8.01%,,,8.01%,,,8.01%,,,,,,,,,8.01%,,,,8.01%,,,,,,,,8.01%,,,,,,,,,,,,8.01%,,8.01%,,,,8.01%,8.01%,,,8.01%,8.01%,,,8.01%,,8.01%,,8.01%,8.01%,8.01%,,,,,,,8.01%,8.01%,8.01%,,,8.01%,,,8.01%,8.01%,,,,,,,,8.01%,8.01%,,8.01%,8.01%,,,,,,,8.01%,8.01%,8.01%,8.01%,,8.01%,,,8.01%,8.01%,8.01%,,,,,,,,,,,8.01%,,,,,,,,8.01%,,8.01%,,,,,8.01%,,,,,8.01%,8.01%,8.01%
briar,,,,,,3.97%,,,,,,,,3.97%,,,,,,,,,,,3.97%,,3.97%,3.97%,3.97%,3.97%,,3.97%,,,,,,,3.97%,3.97%,3.97%,3.97%,,,,,3.97%,,3.97%,3.97%,,,,,,,3.97%,,,,3.97%,,3.97%,3.97%,,,,,3.97%,,3.97%,,,,,,,,,,,,3.97%,,,,,3.97%,,3.97%,3.97%,,,,3.97%,3.97%,,3.97%,,,3.97%,3.97%,,,,3.97%,,,,,3.97%,,,,3.97%,,3.97%,,,,3.97%,,,,,,,,3.97%,3.97%,,,,,3.97%,,,,3.97%,,,,,,,3.97%,3.97%,,,3.97%,3.97%,3.97%,,,3.97%,,,,,3.97%,3.97%,,,,,3.97%
caitlyn,,,,,,,,,11.03%,11.03%,,,,,,,,,,,,,11.03%,,,11.03%,,,,,11.03%,,,,,,,,,,,,,11.03%,,,,,,,,11.03%,11.03%,11.03%,11.03%,,,,,,,,,,,11.03%,,,,,,,11.03%,,,,,,,11.03%,,,,,,,,,11.03%,,,,,,,,,,,,,,,,,,,,,11.03%,,11.03%,11.03%,,,,,,,11.03%,,11.03%,,,11.03%,,,,,,,,,11.03%,,,,11.03%,,,11.03%,11.03%,,,,,,,,,,11.03%,11.03%,,,11.03%,,,,,,11.03%,11.03%,,,
camille,3.68%,,3.68%,,,,,,,,,,,,,,,,,,3.68%,3.68%,,3.68%,,,3.68%,,,,,,3.68%,,3.68%,3.68%,3.68%,3.68%,3.68%,,3.68%,,3.68%,,3.68%,3.68%,,,,3.68%,3.68%,,,,,,,,,3.68%,,3.68%,,,3.68%,,3.68%,,,,,,,,,3.68%,,,,,3.68%,,,,3.68%,,,,,,,3.68%,,3.68%,3.68%,3.68%,,,3.68%,,,,,,3.68%,,3.68%,3.68%,3.68%,,,,,3.68%,,3.68%,,3.68%,3.68%,,,,,,,3.68%,,3.68%,,,,3.68%,,,3.68%,3.68%,,,3.68%,3.68%,3.68%,3.68%,,,,,,,3.68%,3.68%,3.68%,3.68%,,,,3.68%,3.68%,3.68%,,3.68%,,,,,,
cassiopeia,,1.25%,1.25%,1.25%,,,1.25%,1.25%,,,1.25%,1.25%,,,,,,,,,,1.25%,1.25%,,1.25%,,,1.25%,,,,,,1.25%,1.25%,1.25%,,,1.25%,,,,,1.25%,,1.25%,,,,,1.25%,,,,,,,1.25%,1.25%,1.25%,,1.25%,,,,,,1.25%,,,,1.25%,,,1.25%,1.25%,1.25%,,,,,1.25%,1.25%,,,,1.25%,,,,,,1.25%,,,,,1.25%,1.25%,,,,,,,,,,1.25%,,,,,,,,,,,,,1.25%,,,1.25%,1.25%,1.25%,,1.25%,1.25%,,,,1.25%,,,1.25%,,,,,,1.25%,1.25%,1.25%,,,1.25%,1.25%,,,1.25%,,1.25%,,1.25%,1.25%,,,,1.25%,,1.25%,,1.25%,
