,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,briar,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,draven,drmundo,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,hwei,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,ksante,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,milio,missfortune,mordekaiser,morgana,naafiri,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,smolder,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,wukong,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aurelionsol,,24160.0,25792.0,26917.0,,,21463.0,25173.0,,,,25690.0,,,,,,,,,23450.0,,,,,,,,,,,,,26502.0,20192.0,,,,,,,,,29310.0,,,,,,,,,,,,,,26782.0,26442.0,,,,,,,,,26676.0,,,,23884.0,,,,,24121.0,,,,,,,,,,,,,,,,23085.0,,,,,26752.0,,,,,,,,,,,24517.0,,,,,,,,,,,,,,,,,24823.0,25781.0,,26537.0,,,,,,,,20598.0,,,,,,26591.0,,26120.0,,,28005.0,27392.0,,,,,29543.0,,23782.0,25852.0,,,,,,,,25114.0,
azir,,23533.0,25539.0,24814.0,,,21737.0,24536.0,,,27138.0,,,,,,,,,,25205.0,,,,,,,,,,,,,21277.0,17874.0,,,,,,,,,27434.0,,,,,,,,,,,,,,24291.0,25383.0,,,,,,,,,26064.0,,,,21811.0,,,,,23149.0,,,,,,,,,,,,,,,,23889.0,,,,,23815.0,,,,,,,,,,,22529.0,,,,,,,,,,,,,,,,,22895.0,25973.0,,25873.0,,,,,,,,19673.0,,,,,,25563.0,,25247.0,,,27688.0,26714.0,,,,,29025.0,,20398.0,22521.0,,,,,,,,25078.0,
bard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,16194.0,,,,,,,,,,,,21777.0,,,,,,,19929.0,,,20006.0,18697.0,20398.0,,18556.0,,,,,,,,21038.0,,18330.0,,,,,10675.0,,16812.0,,,,,,,,30152.0,,,,19438.0,,19905.0,21745.0,,,,,17660.0,,20351.0,,,,,,,,,,,,18270.0,,,,,19026.0,,18262.0,14574.0,,,,18767.0,,,,,,15835.0,16502.0,,,,18481.0,,,,,14668.0,,,,20742.0,,17896.0,,,,16274.0,,,,,,,,,20949.0,,,,,15343.0,,,,18157.0,,,,,,,14619.0,16702.0,,,17600.0,17206.0,,,,19413.0,,,,,16209.0,20406.0,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
briar,,,,,,18112.0,,,,,,,,17920.0,,,,,,,,,,,22742.0,,,23018.0,21212.0,24764.0,,21255.0,,,,,,,,23762.0,,21527.0,,,,,12625.0,,18346.0,,,,,,,,36804.0,,,,22795.0,,23226.0,24836.0,,,,,19389.0,,23334.0,,,,,,,,,,,,22034.0,,,,,21002.0,,20526.0,16741.0,,,,22233.0,,,,,,15389.0,19244.0,,,,22692.0,,,,,17836.0,,,,22285.0,,23175.0,,,,17536.0,,,,,,,,,23724.0,,,,,19206.0,,,,19362.0,,,,,,,17815.0,20441.0,,,19790.0,20041.0,,,,20430.0,,,,,18167.0,23808.0,,,,,
caitlyn,,,,,,,,,24684.0,21807.0,,,,,,,,,,,,,25602.0,,,23522.0,,,,,27127.0,,,,,,,,,,,,,,,,,,,,,22671.0,23224.0,23445.0,22112.0,,,,,,,,,,,29988.0,,,,,,,24534.0,,,,,,,24610.0,,,,,,,,,21250.0,,,,,,,,,,,,,,,,,,,,,25515.0,,21194.0,,,,,,,,24992.0,,27701.0,,,,,,,,,,,,23932.0,,,,26674.0,,,24357.0,23100.0,,,,,,,,,,,23732.0,,,,,,,,,24468.0,28740.0,,,
camille,22446.0,,,,,,,,,,,,,,,,,,,,,23138.0,,20799.0,,,26240.0,,,,,,23656.0,,,27533.0,20318.0,21894.0,22148.0,,25804.0,,30760.0,,28177.0,21281.0,,,,22838.0,24608.0,,,,,,,,,21518.0,,25143.0,,,22471.0,,20313.0,,,,,,,,,21419.0,,,,,25455.0,,,,20284.0,,,,,,,25734.0,,18603.0,,,,,25790.0,,,,,,22282.0,,20890.0,25913.0,,,,,,24598.0,,19956.0,,20119.0,22898.0,,,,,,,,,,,,,29851.0,,,,21928.0,,,,23739.0,,,,,,,,,,,,,,,,,,23633.0,,,,,,,,
